system	variant	size	property	bytes	member
chiron	multiple	5021	(base)	472299	chiron/multiple/05021/disp.lts
chiron	single	2021	p01a	13142	chiron/single/02021/disp-p01a.lts
chiron	single	2021	p02a	14064	chiron/single/02021/disp-p02a.lts
chiron	single	2021	p03a	13208	chiron/single/02021/disp-p03a.lts
chiron	single	2021	p04a	13279	chiron/single/02021/disp-p04a.lts
chiron	single	2021	p05a	13756	chiron/single/02021/disp-p05a.lts
chiron	single	2021	p06a	13268	chiron/single/02021/disp-p06a.lts
chiron	single	2021	p07a	15706	chiron/single/02021/disp-p07a.lts
chiron	single	2021	p09a	14675	chiron/single/02021/disp-p09a.lts
chiron	single	2021	(base)	12845	chiron/single/02021/disp.lts
chiron	single	3021	p01a	111677	chiron/single/03021/disp-p01a.lts
chiron	single	3021	p02a	112599	chiron/single/03021/disp-p02a.lts
chiron	single	3021	p03a	111808	chiron/single/03021/disp-p03a.lts
chiron	single	3021	p04a	111879	chiron/single/03021/disp-p04a.lts
chiron	single	3021	p05a	113306	chiron/single/03021/disp-p05a.lts
chiron	single	3021	p06a	111803	chiron/single/03021/disp-p06a.lts
chiron	single	3021	p07a	114241	chiron/single/03021/disp-p07a.lts
chiron	single	3021	p09a	115646	chiron/single/03021/disp-p09a.lts
chiron	single	3021	(base)	111380	chiron/single/03021/disp.lts
chiron	single	4021	p01a	517806	chiron/single/04021/disp-p01a.lts
chiron	single	4021	p02a	518728	chiron/single/04021/disp-p02a.lts
chiron	single	4021	p03a	518002	chiron/single/04021/disp-p03a.lts
chiron	single	4021	p04a	518008	chiron/single/04021/disp-p04a.lts
chiron	single	4021	p05a	520844	chiron/single/04021/disp-p05a.lts
chiron	single	4021	p06a	517932	chiron/single/04021/disp-p06a.lts
chiron	single	4021	p07a	520370	chiron/single/04021/disp-p07a.lts
chiron	single	4021	p09a	524211	chiron/single/04021/disp-p09a.lts
chiron	single	4021	(base)	517509	chiron/single/04021/disp.lts
chiron	single	5021	p01a	10851639	chiron/single/05021/disp-p01a.lts
chiron	single	5021	p02a	10852561	chiron/single/05021/disp-p02a.lts
chiron	single	5021	p03a	10851900	chiron/single/05021/disp-p03a.lts
chiron	single	5021	p04a	10851906	chiron/single/05021/disp-p04a.lts
chiron	single	5021	p05a	10856480	chiron/single/05021/disp-p05a.lts
chiron	single	5021	p06a	10851765	chiron/single/05021/disp-p06a.lts
chiron	single	5021	p07a	10854203	chiron/single/05021/disp-p07a.lts
chiron	single	5021	p09a	10862339	chiron/single/05021/disp-p09a.lts
chiron	single	5021	(base)	10851342	chiron/single/05021/disp.lts
gas_station	p2	2	gas-correct-change	3170	gas_station/gas_p2_c002/gas-correct-change.lts
gas_station	p2	2	gas-cust-1-start-stop	3111	gas_station/gas_p2_c002/gas-cust-1-start-stop.lts
gas_station	p2	2	gas-mutual-exclusion	3205	gas_station/gas_p2_c002/gas-mutual-exclusion.lts
gas_station	p2	2	gas-pump1-start-stop	3167	gas_station/gas_p2_c002/gas-pump1-start-stop.lts
gas_station	p2	3	gas-correct-change	3402	gas_station/gas_p2_c003/gas-correct-change.lts
gas_station	p2	3	gas-cust-1-start-stop	3343	gas_station/gas_p2_c003/gas-cust-1-start-stop.lts
gas_station	p2	3	gas-mutual-exclusion	3437	gas_station/gas_p2_c003/gas-mutual-exclusion.lts
gas_station	p2	3	gas-pump1-start-stop	3399	gas_station/gas_p2_c003/gas-pump1-start-stop.lts
gas_station	p2	4	gas-correct-change	3634	gas_station/gas_p2_c004/gas-correct-change.lts
gas_station	p2	4	gas-cust-1-start-stop	3575	gas_station/gas_p2_c004/gas-cust-1-start-stop.lts
gas_station	p2	4	gas-mutual-exclusion	3669	gas_station/gas_p2_c004/gas-mutual-exclusion.lts
gas_station	p2	4	gas-pump1-start-stop	3631	gas_station/gas_p2_c004/gas-pump1-start-stop.lts
gas_station	p2	5	gas-correct-change	3866	gas_station/gas_p2_c005/gas-correct-change.lts
gas_station	p2	5	gas-cust-1-start-stop	3807	gas_station/gas_p2_c005/gas-cust-1-start-stop.lts
gas_station	p2	5	gas-mutual-exclusion	3901	gas_station/gas_p2_c005/gas-mutual-exclusion.lts
gas_station	p2	5	gas-pump1-start-stop	3863	gas_station/gas_p2_c005/gas-pump1-start-stop.lts
gas_station	p2	6	gas-correct-change	4098	gas_station/gas_p2_c006/gas-correct-change.lts
gas_station	p2	6	gas-cust-1-start-stop	4039	gas_station/gas_p2_c006/gas-cust-1-start-stop.lts
gas_station	p2	6	gas-mutual-exclusion	4133	gas_station/gas_p2_c006/gas-mutual-exclusion.lts
gas_station	p2	6	gas-pump1-start-stop	4095	gas_station/gas_p2_c006/gas-pump1-start-stop.lts
gas_station	p2	7	gas-correct-change	4330	gas_station/gas_p2_c007/gas-correct-change.lts
gas_station	p2	7	gas-cust-1-start-stop	4271	gas_station/gas_p2_c007/gas-cust-1-start-stop.lts
gas_station	p2	7	gas-mutual-exclusion	4365	gas_station/gas_p2_c007/gas-mutual-exclusion.lts
gas_station	p2	7	gas-pump1-start-stop	4327	gas_station/gas_p2_c007/gas-pump1-start-stop.lts
gas_station	p2	8	gas-correct-change	4562	gas_station/gas_p2_c008/gas-correct-change.lts
gas_station	p2	8	gas-cust-1-start-stop	4503	gas_station/gas_p2_c008/gas-cust-1-start-stop.lts
gas_station	p2	8	gas-mutual-exclusion	4597	gas_station/gas_p2_c008/gas-mutual-exclusion.lts
gas_station	p2	8	gas-pump1-start-stop	4559	gas_station/gas_p2_c008/gas-pump1-start-stop.lts
gas_station	p2	9	gas-correct-change	4794	gas_station/gas_p2_c009/gas-correct-change.lts
gas_station	p2	9	gas-cust-1-start-stop	4735	gas_station/gas_p2_c009/gas-cust-1-start-stop.lts
gas_station	p2	9	gas-mutual-exclusion	4829	gas_station/gas_p2_c009/gas-mutual-exclusion.lts
gas_station	p2	9	gas-pump1-start-stop	4791	gas_station/gas_p2_c009/gas-pump1-start-stop.lts
peterson	-	2	mutual_exclusion	5120	peterson/peterson2.lts
peterson	-	3	mutual_exclusion	56975	peterson/peterson3.lts
relay	-	2	relay	1598	relay/relay_02/relay-02.lts
relay	-	3	relay	2899	relay/relay_03/relay-03.lts
relay	-	4	relay	4614	relay/relay_04/relay-04.lts
relay	-	5	relay	6735	relay/relay_05/relay-05.lts
relay	-	6	relay	9264	relay/relay_06/relay-06.lts
relay	-	7	relay	12197	relay/relay_07/relay-07.lts
relay	-	8	relay	15536	relay/relay_08/relay-08.lts
relay	-	9	relay	19281	relay/relay_09/relay-09.lts
smokers	-	2	correct_assembly	5231	smokers/smokers2/correct_assembly.lts
smokers	-	2	mutual_exclusion	5153	smokers/smokers2/mutual_exclusion.lts
smokers	-	2	mutual_exclusion_a1_a2	5138	smokers/smokers2/mutual_exclusion_a1_a2.lts
smokers	-	2	never_fill_table	5217	smokers/smokers2/never_fill_table.lts
smokers	-	2	put_correct_pieces_1	5246	smokers/smokers2/put_correct_pieces_1.lts
smokers	-	2	put_pieces_assemble_item	5141	smokers/smokers2/put_pieces_assemble_item.lts
smokers	-	2	put_take_1	5128	smokers/smokers2/put_take_1.lts
smokers	-	2	table_lock_unlock	5145	smokers/smokers2/table_lock_unlock.lts
smokers	-	3	correct_assembly	7321	smokers/smokers3/correct_assembly.lts
smokers	-	3	mutual_exclusion	7106	smokers/smokers3/mutual_exclusion.lts
smokers	-	3	mutual_exclusion_a1_a2	7091	smokers/smokers3/mutual_exclusion_a1_a2.lts
smokers	-	3	never_fill_table	7170	smokers/smokers3/never_fill_table.lts
smokers	-	3	put_correct_pieces_1	7407	smokers/smokers3/put_correct_pieces_1.lts
smokers	-	3	put_pieces_assemble_item	7094	smokers/smokers3/put_pieces_assemble_item.lts
smokers	-	3	put_take_1	7081	smokers/smokers3/put_take_1.lts
smokers	-	3	table_lock_unlock	7098	smokers/smokers3/table_lock_unlock.lts
smokers	-	4	correct_assembly	9397	smokers/smokers4/correct_assembly.lts
smokers	-	4	mutual_exclusion	9059	smokers/smokers4/mutual_exclusion.lts
smokers	-	4	mutual_exclusion_a1_a2	9045	smokers/smokers4/mutual_exclusion_a1_a2.lts
smokers	-	4	never_fill_table	9124	smokers/smokers4/never_fill_table.lts
smokers	-	4	put_correct_pieces_1	9634	smokers/smokers4/put_correct_pieces_1.lts
smokers	-	4	put_pieces_assemble_item	9047	smokers/smokers4/put_pieces_assemble_item.lts
smokers	-	4	put_take_1	8977	smokers/smokers4/put_take_1.lts
smokers	-	4	table_lock_unlock	9051	smokers/smokers4/table_lock_unlock.lts
smokers	-	5	correct_assembly	11470	smokers/smokers5/correct_assembly.lts
smokers	-	5	mutual_exclusion	10956	smokers/smokers5/mutual_exclusion.lts
smokers	-	5	mutual_exclusion_a1_a2	10942	smokers/smokers5/mutual_exclusion_a1_a2.lts
smokers	-	5	put_pieces_assemble_item	10945	smokers/smokers5/put_pieces_assemble_item.lts
smokers	-	5	put_take_1	10931	smokers/smokers5/put_take_1.lts
smokers	-	5	table_lock_unlock	10948	smokers/smokers5/table_lock_unlock.lts
smokers	-	6	mutual_exclusion_a1_a2	12950	smokers/smokers6/mutual_exclusion_a1_a2.lts
smokers	-	6	put_take_1	12940	smokers/smokers6/put_take_1.lts
smokers	-	6	table_lock_unlock	12957	smokers/smokers6/table_lock_unlock.lts
